1924,Winter,2025-10-30T12:43:06.379104,1,Norway,4,7,6,17.0
1924,Winter,2025-10-30T12:43:06.379104,2,Finland,4,4,3,11.0
1924,Winter,2025-10-30T12:43:06.379104,3,Austria,2,1,0,3.0
1924,Winter,2025-10-30T12:43:06.379104,4,Switzerland,2,0,1,3.0
1924,Winter,2025-10-30T12:43:06.379104,5,United States,1,2,1,4.0
1924,Winter,2025-10-30T12:43:06.379104,6,Great Britain,1,1,2,4.0
1924,Winter,2025-10-30T12:43:06.379104,7,Sweden,1,1,0,2.0
1924,Winter,2025-10-30T12:43:06.379104,8,Canada,1,0,0,1.0
1924,Winter,2025-10-30T12:43:06.379104,Mixed team,1,0,0,1,
1924,Winter,2025-10-30T12:43:06.379104,10,France*,0,0,3,3.0
1924,Winter,2025-10-30T12:43:06.379104,11,Belgium,0,0,1,1.0
1928,Winter,2025-10-30T12:43:49.479169,1,Norway,6,4,5,15.0
1928,Winter,2025-10-30T12:43:49.479169,2,United States,2,2,2,6.0
1928,Winter,2025-10-30T12:43:49.479169,3,Sweden,2,2,1,5.0
1928,Winter,2025-10-30T12:43:49.479169,4,Finland,2,1,1,4.0
1928,Winter,2025-10-30T12:43:49.479169,5,Canada,1,0,0,1.0
1928,Winter,2025-10-30T12:43:49.479169,France,1,0,0,1,
1928,Winter,2025-10-30T12:43:49.479169,7,Austria,0,3,1,4.0
1928,Winter,2025-10-30T12:43:49.479169,8,Belgium,0,0,1,1.0
1928,Winter,2025-10-30T12:43:49.479169,Czechoslovakia,0,0,1,1,
1928,Winter,2025-10-30T12:43:49.479169,Germany,0,0,1,1,
1928,Winter,2025-10-30T12:43:49.479169,Great Britain,0,0,1,1,
1928,Winter,2025-10-30T12:43:49.479169,Switzerland*,0,0,1,1,
1932,Winter,2025-10-30T12:44:51.518103,1,United States*,6,4,2,12
1932,Winter,2025-10-30T12:44:51.518103,2,Norway,3,4,3,10
1932,Winter,2025-10-30T12:44:51.518103,3,Sweden,1,2,0,3
1932,Winter,2025-10-30T12:44:51.518103,4,Canada,1,1,5,7
1932,Winter,2025-10-30T12:44:51.518103,5,Finland,1,1,1,3
1932,Winter,2025-10-30T12:44:51.518103,6,Austria,1,1,0,2
1932,Winter,2025-10-30T12:44:51.518103,7,France,1,0,0,1
1932,Winter,2025-10-30T12:44:51.518103,8,Switzerland,0,1,0,1
1932,Winter,2025-10-30T12:44:51.518103,9,Germany,0,0,2,2
1932,Winter,2025-10-30T12:44:51.518103,10,Hungary,0,0,1,1
1936,Winter,2025-10-30T12:47:09.733987,1,Norway,7,5,3,15.0
1936,Winter,2025-10-30T12:47:09.733987,2,Germany*,3,3,0,6.0
1936,Winter,2025-10-30T12:47:09.733987,3,Sweden,2,2,3,7.0
1936,Winter,2025-10-30T12:47:09.733987,4,Finland,1,2,3,6.0
1936,Winter,2025-10-30T12:47:09.733987,5,Switzerland,1,2,0,3.0
1936,Winter,2025-10-30T12:47:09.733987,6,Austria,1,1,2,4.0
1936,Winter,2025-10-30T12:47:09.733987,7,Great Britain,1,1,1,3.0
1936,Winter,2025-10-30T12:47:09.733987,8,United States,1,0,3,4.0
1936,Winter,2025-10-30T12:47:09.733987,9,Canada,0,1,0,1.0
1936,Winter,2025-10-30T12:47:09.733987,10,France,0,0,1,1.0
1936,Winter,2025-10-30T12:47:09.733987,Hungary,0,0,1,1,
1948,Winter,2025-10-30T12:48:09.065994,1,Norway,4,3,3,10.0
1948,Winter,2025-10-30T12:48:09.065994,Sweden,4,3,3,10,
1948,Winter,2025-10-30T12:48:09.065994,3,Switzerland*,3,4,3,10.0
1948,Winter,2025-10-30T12:48:09.065994,4,United States,3,4,2,9.0
1948,Winter,2025-10-30T12:48:09.065994,5,France,2,1,2,5.0
1948,Winter,2025-10-30T12:48:09.065994,6,Canada,2,0,1,3.0
1948,Winter,2025-10-30T12:48:09.065994,7,Austria,1,3,4,8.0
1948,Winter,2025-10-30T12:48:09.065994,8,Finland,1,3,2,6.0
1948,Winter,2025-10-30T12:48:09.065994,9,Belgium,1,1,0,2.0
1948,Winter,2025-10-30T12:48:09.065994,10,Italy,1,0,0,1.0
1952,Winter,2025-10-30T12:48:47.188557,1,Norway*,7,3,6,16.0
1952,Winter,2025-10-30T12:48:47.188557,2,United States,4,6,1,11.0
1952,Winter,2025-10-30T12:48:47.188557,3,Finland,3,4,2,9.0
1952,Winter,2025-10-30T12:48:47.188557,4,Germany,3,2,2,7.0
1952,Winter,2025-10-30T12:48:47.188557,5,Austria,2,4,2,8.0
1952,Winter,2025-10-30T12:48:47.188557,6,Canada,1,0,1,2.0
1952,Winter,2025-10-30T12:48:47.188557,Italy,1,0,1,2,
1952,Winter,2025-10-30T12:48:47.188557,8,Great Britain,1,0,0,1.0
